sequence_manhattan_length,target_sequence_count
0.0,139
1.0,15
1.0588235294117647,35
1.1176470588235294,165
1.1764705882352942,342
1.2352941176470589,222
1.2941176470588236,64
1.3529411764705883,17
1.411764705882353,1
